,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
74,2020-11-02,485.38401424522505,409.27790607776257,546.4935232948949,485.38401424522505,485.38401424522505,-5.747141642302474,-5.747141642302474,-5.747141642302474,-5.747141642302474,-5.747141642302474,-5.747141642302474,0.0,0.0,0.0,479.63687260292255
75,2020-11-03,488.4059434385867,415.6714159015551,554.2228229528827,488.4059434385867,488.4059434385867,-3.092493358529017,-3.092493358529017,-3.092493358529017,-3.092493358529017,-3.092493358529017,-3.092493358529017,0.0,0.0,0.0,485.3134500800577
76,2020-11-04,491.4278726319483,416.8024490808415,551.7054693676987,491.4278726319483,491.4278726319483,-4.448624500103973,-4.448624500103973,-4.448624500103973,-4.448624500103973,-4.448624500103973,-4.448624500103973,0.0,0.0,0.0,486.9792481318443
77,2020-11-05,494.4498018253099,420.64190087427187,560.444866600792,494.4498018253099,494.4498018253099,-4.546471507190989,-4.546471507190989,-4.546471507190989,-4.546471507190989,-4.546471507190989,-4.546471507190989,0.0,0.0,0.0,489.90333031811895
78,2020-11-06,497.47173101867156,427.49159942982124,564.5704150238982,497.47173101867156,497.47173101867156,-4.196486984182416,-4.196486984182416,-4.196486984182416,-4.196486984182416,-4.196486984182416,-4.196486984182416,0.0,0.0,0.0,493.27524403448916
79,2020-11-09,506.5375185987563,432.4722826006154,571.7639825454124,506.5375185987563,506.5375185987563,-5.747141642312652,-5.747141642312652,-5.747141642312652,-5.747141642312652,-5.747141642312652,-5.747141642312652,0.0,0.0,0.0,500.79037695644365
80,2020-11-10,509.5594477921179,442.2954532036178,576.7263047740622,509.5594477921179,509.5594477921179,-3.092493358544241,-3.092493358544241,-3.092493358544241,-3.092493358544241,-3.092493358544241,-3.092493358544241,0.0,0.0,0.0,506.4669544335737
81,2020-11-11,513.388845164291,437.86205012653124,575.3811649028461,513.388845164291,513.388845164291,-4.4486245001038185,-4.4486245001038185,-4.4486245001038185,-4.4486245001038185,-4.4486245001038185,-4.4486245001038185,0.0,0.0,0.0,508.9402206641871
82,2020-11-12,517.218242536464,447.34364046979306,579.1236594118012,517.218242536464,517.218242536464,-4.546471507207985,-4.546471507207985,-4.546471507207985,-4.546471507207985,-4.546471507207985,-4.546471507207985,0.0,0.0,0.0,512.671771029256
83,2020-11-13,521.0476399086372,447.90147924837964,589.5191361644887,521.0476399086372,521.0476399086372,-4.196486984235269,-4.196486984235269,-4.196486984235269,-4.196486984235269,-4.196486984235269,-4.196486984235269,0.0,0.0,0.0,516.8511529244018
